FC:C3:AF:BD:83:9A -> {x : 0.001, y : 0.734, z : 0.615}
FC:C3:AF:BD:83:9A -> {x : 0.000, y : 0.735, z : 0.607}
FC:C3:AF:BD:83:9A -> {x : 0.004, y : 0.718, z : 0.606}
FC:C3:AF:BD:83:9A -> {x : 0.010, y : 0.708, z : 0.612}
FC:C3:AF:BD:83:9A -> {x : 0.010, y : 0.708, z : 0.615}
FC:C3:AF:BD:83:9A -> {x : 0.004, y : 0.716, z : 0.619}
FC:C3:AF:BD:83:9A -> {x : -0.004, y : 0.732, z : 0.626}
FC:C3:AF:BD:83:9A -> {x : -0.012, y : 0.745, z : 0.627}
FC:C3:AF:BD:83:9A -> {x : -0.018, y : 0.753, z : 0.627}
FC:C3:AF:BD:83:9A -> {x : -0.019, y : 0.751, z : 0.633}
FC:C3:AF:BD:83:9A -> {x : -0.010, y : 0.755, z : 0.633}
FC:C3:AF:BD:83:9A -> {x : -0.005, y : 0.760, z : 0.636}
FC:C3:AF:BD:83:9A -> {x : 0.003, y : 0.756, z : 0.640}
FC:C3:AF:BD:83:9A -> {x : 0.016, y : 0.750, z : 0.640}
FC:C3:AF:BD:83:9A -> {x : 0.039, y : 0.749, z : 0.635}
FC:C3:AF:BD:83:9A -> {x : 0.062, y : 0.746, z : 0.630}
FC:C3:AF:BD:83:9A -> {x : 0.076, y : 0.741, z : 0.631}
FC:C3:AF:BD:83:9A -> {x : 0.082, y : 0.737, z : 0.635}
FC:C3:AF:BD:83:9A -> {x : 0.080, y : 0.731, z : 0.641}
FC:C3:AF:BD:83:9A -> {x : 0.071, y : 0.729, z : 0.649}
FC:C3:AF:BD:83:9A -> {x : 0.054, y : 0.733, z : 0.657}
FC:C3:AF:BD:83:9A -> {x : 0.025, y : 0.740, z : 0.650}
FC:C3:AF:BD:83:9A -> {x : 0.008, y : 0.746, z : 0.644}
FC:C3:AF:BD:83:9A -> {x : 0.000, y : 0.757, z : 0.645}
FC:C3:AF:BD:83:9A -> {x : -0.007, y : 0.765, z : 0.631}
FC:C3:AF:BD:83:9A -> {x : -0.010, y : 0.765, z : 0.629}
FC:C3:AF:BD:83:9A -> {x : -0.008, y : 0.764, z : 0.623}
FC:C3:AF:BD:83:9A -> {x : -0.003, y : 0.757, z : 0.619}
FC:C3:AF:BD:83:9A -> {x : 0.002, y : 0.751, z : 0.614}
FC:C3:AF:BD:83:9A -> {x : 0.007, y : 0.747, z : 0.615}
FC:C3:AF:BD:83:9A -> {x : 0.014, y : 0.740, z : 0.617}
FC:C3:AF:BD:83:9A -> {x : 0.014, y : 0.736, z : 0.618}
FC:C3:AF:BD:83:9A -> {x : 0.015, y : 0.734, z : 0.618}
FC:C3:AF:BD:83:9A -> {x : 0.020, y : 0.738, z : 0.620}
FC:C3:AF:BD:83:9A -> {x : 0.021, y : 0.743, z : 0.620}
FC:C3:AF:BD:83:9A -> {x : 0.018, y : 0.748, z : 0.622}
FC:C3:AF:BD:83:9A -> {x : 0.019, y : 0.752, z : 0.621}
FC:C3:AF:BD:83:9A -> {x : 0.019, y : 0.759, z : 0.625}
FC:C3:AF:BD:83:9A -> {x : 0.021, y : 0.761, z : 0.628}
FC:C3:AF:BD:83:9A -> {x : 0.019, y : 0.761, z : 0.630}
FC:C3:AF:BD:83:9A -> {x : 0.020, y : 0.756, z : 0.633}
FC:C3:AF:BD:83:9A -> {x : 0.029, y : 0.756, z : 0.631}
FC:C3:AF:BD:83:9A -> {x : 0.033, y : 0.751, z : 0.634}
FC:C3:AF:BD:83:9A -> {x : 0.044, y : 0.754, z : 0.631}
FC:C3:AF:BD:83:9A -> {x : 0.048, y : 0.752, z : 0.632}
FC:C3:AF:BD:83:9A -> {x : 0.046, y : 0.750, z : 0.631}
FC:C3:AF:BD:83:9A -> {x : 0.043, y : 0.750, z : 0.629}
